1323542	Okanagana villosa	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Hemiptera	family	Cicadidae	subfamily	Tibicininae	genus	Okanagana
6978	Periplaneta americana	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Blattodea	family	Blattidae	subfamily	Blattinae	genus	Periplaneta
299019	Parides eurimedes	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Lepidoptera	family	Papilionidae	subfamily	Papilioninae	genus	Parides
537464	Notostira elongata	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Hemiptera	family	Miridae	subfamily	Mirinae	genus	Notostira
227363	Perla marginata	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Plecoptera	family	Perlidae	subfamily	Perlinae	genus	Perla
222816	Orussus abietinus	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Hymenoptera	family	Orussidae	genus	Orussus
446453	Osmylus fulvicephalus	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Neuroptera	family	Osmylidae	genus	Osmylus
627751	Metallyticus splendidus	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Mantodea	family	Metallyticidae	genus	Metallyticus
438506	Machilis hrabei	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Archaeognatha	family	Machilidae	genus	Machilis
1323540	Lipara lucens	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Diptera	family	Chloropidae	subfamily	Oscinellinae	genus	Lipara
7507	Mantis religiosa	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Mantodea	family	Mantidae	subfamily	Mantinae	genus	Mantis
1323541	Meloe violaceus	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Coleoptera	family	Meloidae	genus	Meloe
289462	Occasjapyx japonicus	kingdom	Metazoa	phylum	Arthropoda	class	Diplura	family	Japygidae	subfamily	Japyginae	genus	Occasjapyx
170843	Planococcus citri	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Hemiptera	family	Pseudococcidae	genus	Planococcus
614134	Peruphasma schultei	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Phasmatodea	family	Pseudophasmatidae	subfamily	Pseudophasmatinae	genus	Peruphasma
1323567	Pogonognathellus sp. AD-2013	kingdom	Metazoa	phylum	Arthropoda	class	Collembola	order	Entomobryomorpha	family	Tomoceridae	genus	Pogonognathellus
109609	Sminthurus viridis	kingdom	Metazoa	phylum	Arthropoda	class	Collembola	order	Symphypleona	family	Sminthuridae	genus	Sminthurus
280158	Ranatra linearis	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Hemiptera	family	Nepidae	subfamily	Ranatrinae	genus	Ranatra
265386	Polyommatus icarus	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Lepidoptera	family	Lycaenidae	subfamily	Polyommatinae	genus	Polyommatus
763388	Platycentropus radiatus	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Trichoptera	family	Limnephilidae	subfamily	Limnephilinae	genus	Platycentropus
355390	Stenobothrus lineatus	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Orthoptera	family	Acrididae	subfamily	Gomphocerinae	genus	Stenobothrus
89055	Thermobia domestica	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Zygentoma	family	Lepismatidae	genus	Thermobia
88556	Trialeurodes vaporariorum	kingdom	Metazoa	phylum	Arthropoda	class	Insecta	order	Hemiptera	family	Aleyrodidae	subfamily	Aleyrodinae	genus	Trialeurodes
